·2026-04-24T14:49:51+08:00
Running ./bench_axpy
Run on (32 X 5200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 10.92, 6.06, 3.42
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"axpy_eigen/100",63961664,10.9543,10.9402,ns,,,,,
"axpy_eigen/1000",7000539,100.224,100.075,ns,,,,,
"axpy_eigen/10000",466988,1501.24,1499.13,ns,,,,,
"axpy_eigen/100000",46661,15013,14989.6,ns,,,,,
"axpy_eigen/1000000",2147,327055,326291,ns,,,,,
"axpy_eigen/10000000",98,6.89994e+06,6.87921e+06,ns,,,,,
"axpy_eigen/100000000",10,7.19308e+07,7.17179e+07,ns,,,,,
"axpy_eigen_BigO",,0.718979,0.71685,N,,,,,
"axpy_eigen_RMS",,1.64379e-11,1.64384e-11,,,,,,
"axpy_highway/100",69818995,10.0404,10.0257,ns,,,,,
"axpy_highway/1000",6875082,101.959,101.793,ns,,,,,
"axpy_highway/10000",466923,1501.37,1499.27,ns,,,,,
"axpy_highway/100000",46682,15012.8,14991.9,ns,,,,,
"axpy_highway/1000000",2148,328745,328031,ns,,,,,
"axpy_highway/10000000",99,6.93481e+06,6.91477e+06,ns,,,,,
"axpy_highway/100000000",10,7.22827e+07,7.20628e+07,ns,,,,,
"axpy_highway_BigO",,0.722497,0.7203,N,,,,,
"axpy_highway_RMS",,1.64137e-11,1.63849e-11,,,,,,
"axpy_xsimd/100",69820549,10.0379,10.0255,ns,,,,,
"axpy_xsimd/1000",7024627,99.9921,99.8589,ns,,,,,
"axpy_xsimd/10000",467173,1500.45,1498.44,ns,,,,,
"axpy_xsimd/100000",46674,15010.2,14989.2,ns,,,,,
"axpy_xsimd/1000000",2148,329214,328519,ns,,,,,
"axpy_xsimd/10000000",99,6.93347e+06,6.91374e+06,ns,,,,,
"axpy_xsimd/100000000",10,7.22429e+07,7.20337e+07,ns,,,,,
"axpy_xsimd_BigO",,0.722102,0.720011,N,,,,,
"axpy_xsimd_RMS",,1.63475e-11,1.63334e-11,,,,,,
"axpy_omp/100",45496,39039.9,13593.1,ns,,,,,
"axpy_omp/1000",47177,49737.8,16499.9,ns,,,,,
"axpy_omp/10000",41217,53174.4,18039.7,ns,,,,,
"axpy_omp/100000",25768,71415.3,29303,ns,,,,,
"axpy_omp/1000000",10000,131491,55908,ns,,,,,
"axpy_omp/10000000",194,4.14384e+06,3.3739e+06,ns,,,,,
"axpy_omp/100000000",20,3.94087e+07,3.47691e+07,ns,,,,,
"axpy_omp_BigO",,0.394263,0.34756,N,,,,,
"axpy_omp_RMS",,2.06376e-11,2.1446e-11,,,,,,
"axpy_tbb/100",94389,7430.01,7406.5,ns,,,,,
"axpy_tbb/1000",51657,13598.6,13554.5,ns,,,,,
"axpy_tbb/10000",39162,17879.9,17812.6,ns,,,,,
"axpy_tbb/100000",27447,25396.2,25311.4,ns,,,,,
"axpy_tbb/1000000",6660,106322,105823,ns,,,,,
"axpy_tbb/10000000",198,3.5627e+06,3.53347e+06,ns,,,,,
"axpy_tbb/100000000",18,3.89569e+07,3.86498e+07,ns,,,,,
"axpy_tbb_BigO",,0.0146635,0.0145479,NlgN,,,,,
"axpy_tbb_RMS",,1.50021e-11,1.49412e-11,,,,,,
"axpy_std/100",91394,7709.34,7686.63,ns,,,,,
"axpy_std/1000",52977,13207.2,13170.3,ns,,,,,
"axpy_std/10000",39107,17942.4,17886.8,ns,,,,,
"axpy_std/100000",27635,25343.3,25261.8,ns,,,,,
"axpy_std/1000000",6513,106885,106276,ns,,,,,
"axpy_std/10000000",198,3.55836e+06,3.52957e+06,ns,,,,,
"axpy_std/100000000",18,3.89433e+07,3.86302e+07,ns,,,,,
"axpy_std_BigO",,0.0146583,0.0145404,NlgN,,,,,
"axpy_std_RMS",,1.48532e-11,1.48344e-11,,,,,,
