2026-04-24T14:47:31+08:00
Running ./bench_dot
Run on (32 X 5200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 7.64, 4.28, 2.56
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"dot_eigen/100",82446626,8.36373,8.34944,ns,,,,,
"dot_eigen/1000",7068204,99.0013,98.8606,ns,,,,,
"dot_eigen/10000",491754,1424.27,1422.22,ns,,,,,
"dot_eigen/100000",49096,14262.5,14241,ns,,,,,
"dot_eigen/1000000",3059,225069,224549,ns,,,,,
"dot_eigen/10000000",117,5.97662e+06,5.95698e+06,ns,,,,,
"dot_eigen/100000000",12,6.09453e+07,6.07601e+07,ns,,,,,
"dot_eigen_BigO",,0.609298,0.607445,N,,,,,
"dot_eigen_RMS",,1.59341e-11,1.5945e-11,,,,,,
"dot_highway/100",76086828,9.20877,9.19495,ns,,,,,
"dot_highway/1000",3700973,189.432,189.144,ns,,,,,
"dot_highway/10000",272661,2571,2567.28,ns,,,,,
"dot_highway/100000",26591,26357.4,26319.5,ns,,,,,
"dot_highway/1000000",2641,264942,264399,ns,,,,,
"dot_highway/10000000",119,5.83253e+06,5.81381e+06,ns,,,,,
"dot_highway/100000000",12,6.00791e+07,5.98984e+07,ns,,,,,
"dot_highway_BigO",,0.600584,0.598776,N,,,,,
"dot_highway_RMS",,1.51787e-11,1.51916e-11,,,,,,
"dot_xsimd/100",64636851,10.8132,10.7989,ns,,,,,
"dot_xsimd/1000",5984621,117.137,116.981,ns,,,,,
"dot_xsimd/10000",448801,1562.02,1559.71,ns,,,,,
"dot_xsimd/100000",44980,15589.9,15565.9,ns,,,,,
"dot_xsimd/1000000",3058,226974,226511,ns,,,,,
"dot_xsimd/10000000",120,5.75947e+06,5.74198e+06,ns,,,,,
"dot_xsimd/100000000",12,5.90505e+07,5.888e+07,ns,,,,,
"dot_xsimd_BigO",,0.590324,0.588619,N,,,,,
"dot_xsimd_RMS",,1.6008e-11,1.60136e-11,,,,,,
"dot_omp/100",41871,54949.5,17575,ns,,,,,
"dot_omp/1000",39843,56108.8,18217.7,ns,,,,,
"dot_omp/10000",34436,61519.4,20931.6,ns,,,,,
"dot_omp/100000",19655,78106.2,34379.4,ns,,,,,
"dot_omp/1000000",10021,97132.8,69685.2,ns,,,,,
"dot_omp/10000000",363,2.85763e+06,1.97917e+06,ns,,,,,
"dot_omp/100000000",33,2.59466e+07,1.92542e+07,ns,,,,,
"dot_omp_BigO",,0.259711,0.192583,N,,,,,
"dot_omp_RMS",,2.9719e-11,1.71308e-11,,,,,,
"dot_tbb/100",95949,7298.5,7276.91,ns,,,,,
"dot_tbb/1000",56111,12605.6,12558.6,ns,,,,,
"dot_tbb/10000",43619,16314.3,16245.9,ns,,,,,
"dot_tbb/100000",30895,22478.5,22406.6,ns,,,,,
"dot_tbb/1000000",9475,73010.3,72661.3,ns,,,,,
"dot_tbb/10000000",315,2.24021e+06,2.2253e+06,ns,,,,,
"dot_tbb/100000000",28,2.52971e+07,2.49957e+07,ns,,,,,
"dot_tbb_BigO",,0.00951953,0.00940649,NlgN,,,,,
"dot_tbb_RMS",,1.16388e-11,1.18907e-11,,,,,,
"dot_std/100",129075,5424.15,5405.94,ns,,,,,
"dot_std/1000",62367,11240,11204,ns,,,,,
"dot_std/10000",42430,16622.7,16561.9,ns,,,,,
"dot_std/100000",34985,20222.8,20150.6,ns,,,,,
"dot_std/1000000",10477,67721,67234.4,ns,,,,,
"dot_std/10000000",313,2.23949e+06,2.22148e+06,ns,,,,,
"dot_std/100000000",28,2.51193e+07,2.49659e+07,ns,,,,,
"dot_std_BigO",,0.0094531,0.00939522,NlgN,,,,,
"dot_std_RMS",,1.24387e-11,1.23206e-11,,,,,,
