2026-04-24T14:48:47+08:00
Running ./bench_nrm2
Run on (32 X 5200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 8.99, 5.23, 3.01
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"nrm2_eigen/100",121961380,5.44853,5.4406,ns,,,,,
"nrm2_eigen/1000",7607758,92.3102,92.1921,ns,,,,,
"nrm2_eigen/10000",545552,1284.36,1282.64,ns,,,,,
"nrm2_eigen/100000",53199,13176.4,13158.2,ns,,,,,
"nrm2_eigen/1000000",5147,136043,135765,ns,,,,,
"nrm2_eigen/10000000",195,3.55717e+06,3.54562e+06,ns,,,,,
"nrm2_eigen/100000000",19,3.61867e+07,3.60833e+07,ns,,,,,
"nrm2_eigen_BigO",,0.361784,0.360748,N,,,,,
"nrm2_eigen_RMS",,1.55877e-11,1.56048e-11,,,,,,
"nrm2_highway/100",68402066,10.2433,10.2304,ns,,,,,
"nrm2_highway/1000",3117764,224.777,224.486,ns,,,,,
"nrm2_highway/10000",268950,2606.22,2602.83,ns,,,,,
"nrm2_highway/100000",26562,26394.3,26358.3,ns,,,,,
"nrm2_highway/1000000",2647,264978,264425,ns,,,,,
"nrm2_highway/10000000",175,3.97637e+06,3.9654e+06,ns,,,,,
"nrm2_highway/100000000",18,3.86173e+07,3.85241e+07,ns,,,,,
"nrm2_highway_BigO",,0.386275,0.38534,N,,,,,
"nrm2_highway_RMS",,1.03e-11,1.02387e-11,,,,,,
"nrm2_xsimd/100",80805605,8.68519,8.67356,ns,,,,,
"nrm2_xsimd/1000",6329867,110.745,110.587,ns,,,,,
"nrm2_xsimd/10000",529475,1323.88,1322.08,ns,,,,,
"nrm2_xsimd/100000",53036,13215.8,13196.9,ns,,,,,
"nrm2_xsimd/1000000",4737,148245,147944,ns,,,,,
"nrm2_xsimd/10000000",198,3.48357e+06,3.47366e+06,ns,,,,,
"nrm2_xsimd/100000000",20,3.59123e+07,3.58209e+07,ns,,,,,
"nrm2_xsimd_BigO",,0.358996,0.358081,N,,,,,
"nrm2_xsimd_RMS",,1.5886e-11,1.59131e-11,,,,,,
"nrm2_omp/100",44870,52045.1,17837.8,ns,,,,,
"nrm2_omp/1000",43545,53742.5,17779.7,ns,,,,,
"nrm2_omp/10000",32922,59029.1,21210.9,ns,,,,,
"nrm2_omp/100000",21082,74545.4,33274.7,ns,,,,,
"nrm2_omp/1000000",9902,119233,71002.5,ns,,,,,
"nrm2_omp/10000000",906,1.39787e+06,828433,ns,,,,,
"nrm2_omp/100000000",61,1.43176e+07,9.45448e+06,ns,,,,,
"nrm2_omp_BigO",,0.00539233,0.00355765,NlgN,,,,,
"nrm2_omp_RMS",,3.0492e-11,1.07873e-11,,,,,,
"nrm2_tbb/100",93111,7509.47,7487.18,ns,,,,,
"nrm2_tbb/1000",55581,12687.7,12651.5,ns,,,,,
"nrm2_tbb/10000",43605,16088.5,16037.7,ns,,,,,
"nrm2_tbb/100000",32729,22025.5,21948,ns,,,,,
"nrm2_tbb/1000000",10982,63292.5,63004.4,ns,,,,,
"nrm2_tbb/10000000",1018,679215,672982,ns,,,,,
"nrm2_tbb/100000000",56,1.25208e+07,1.24457e+07,ns,,,,,
"nrm2_tbb_BigO",,0.00469772,0.0046695,NlgN,,,,,
"nrm2_tbb_RMS",,8.27523e-11,8.31927e-11,,,,,,
"nrm2_std/100",132183,5311.67,5293.57,ns,,,,,
"nrm2_std/1000",62718,11165.3,11123.4,ns,,,,,
"nrm2_std/10000",43397,16148.3,16099.1,ns,,,,,
"nrm2_std/100000",38579,18126.1,18071.2,ns,,,,,
"nrm2_std/1000000",17538,40201.7,40014,ns,,,,,
"nrm2_std/10000000",1033,658881,652818,ns,,,,,
"nrm2_std/100000000",56,1.2486e+07,1.24104e+07,ns,,,,,
"nrm2_std_BigO",,0.00468402,0.00465558,NlgN,,,,,
"nrm2_std_RMS",,8.71189e-11,8.75421e-11,,,,,,
