name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"vec_exp_reduce_eigen/10",63258538,11.3291,11.3291,ns,,,,,
"vec_exp_reduce_eigen/100",7449344,95.0381,94.4652,ns,,,,,
"vec_exp_reduce_eigen/1000",772763,907.106,907.106,ns,,,,,
"vec_exp_reduce_eigen/10000",77195,9078.85,9078.85,ns,,,,,
"vec_exp_reduce_eigen/100000",7700,91024.6,91024.7,ns,,,,,
"vec_exp_reduce_eigen/1000000",769,912325,912325,ns,,,,,
"vec_exp_reduce_eigen/10000000",76,9.23617e+06,9.23617e+06,ns,,,,,
"vec_exp_reduce_eigen/100000000",8,9.31864e+07,9.31864e+07,ns,,,,,
"vec_exp_reduce_eigen/1000000000",1,9.36172e+08,9.36171e+08,ns,,,,,
"vec_exp_reduce_eigen_BigO",,0.936128,0.936127,N,,,,,
"vec_exp_reduce_eigen_RMS",,1.29051e-12,1.29024e-12,,,,,,
"vec_exp_reduce_highway/10",54175793,12.9055,12.9055,ns,,,,,
"vec_exp_reduce_highway/100",5516328,126.841,126.841,ns,,,,,
"vec_exp_reduce_highway/1000",552556,1265.21,1265.21,ns,,,,,
"vec_exp_reduce_highway/10000",55353,12757,12757,ns,,,,,
"vec_exp_reduce_highway/100000",5467,128092,128092,ns,,,,,
"vec_exp_reduce_highway/1000000",546,1.28159e+06,1.28159e+06,ns,,,,,
"vec_exp_reduce_highway/10000000",55,1.28319e+07,1.28319e+07,ns,,,,,
"vec_exp_reduce_highway/100000000",5,1.28336e+08,1.28336e+08,ns,,,,,
"vec_exp_reduce_highway/1000000000",1,1.27913e+09,1.27913e+09,ns,,,,,
"vec_exp_reduce_highway_BigO",,1.27917,1.27917,N,,,,,
"vec_exp_reduce_highway_RMS",,8.93777e-13,8.93879e-13,,,,,,
"vec_exp_reduce_xsimd/10",21186377,32.983,32.983,ns,,,,,
"vec_exp_reduce_xsimd/100",2181888,320.086,320.086,ns,,,,,
"vec_exp_reduce_xsimd/1000",220502,3178.16,3178.15,ns,,,,,
"vec_exp_reduce_xsimd/10000",22050,31749.1,31749.1,ns,,,,,
"vec_exp_reduce_xsimd/100000",2200,317815,317816,ns,,,,,
"vec_exp_reduce_xsimd/1000000",220,3.18436e+06,3.18436e+06,ns,,,,,
"vec_exp_reduce_xsimd/10000000",22,3.18812e+07,3.18811e+07,ns,,,,,
"vec_exp_reduce_xsimd/100000000",2,3.19288e+08,3.19288e+08,ns,,,,,
"vec_exp_reduce_xsimd/1000000000",1,3.20035e+09,3.20035e+09,ns,,,,,
"vec_exp_reduce_xsimd_BigO",,3.95007e+08,3.95006e+08,(1),,,,,
"vec_exp_reduce_xsimd_RMS",,2.52329e-09,2.52329e-09,,,,,,
"vec_exp_reduce_tbb/10",825014,911.661,910.212,ns,,,,,
"vec_exp_reduce_tbb/100",158725,4399.19,4395.54,ns,,,,,
"vec_exp_reduce_tbb/1000",95820,7290.92,7279.11,ns,,,,,
"vec_exp_reduce_tbb/10000",51554,13602,13582.9,ns,,,,,
"vec_exp_reduce_tbb/100000",9948,71423.7,71204.5,ns,,,,,
"vec_exp_reduce_tbb/1000000",1128,630187,623554,ns,,,,,
"vec_exp_reduce_tbb/10000000",113,6.16757e+06,5.96725e+06,ns,,,,,
"vec_exp_reduce_tbb/100000000",11,6.16628e+07,5.92298e+07,ns,,,,,
"vec_exp_reduce_tbb/1000000000",1,6.27698e+08,5.94614e+08,ns,,,,,
"vec_exp_reduce_tbb_BigO",,0.627588,0.594591,N,,,,,
"vec_exp_reduce_tbb_RMS",,4.76951e-12,1.06179e-12,,,,,,
"vec_exp_reduce_omp/10",34648,55633.6,20062.9,ns,,,,,
"vec_exp_reduce_omp/100",34877,55070.7,19824.9,ns,,,,,
"vec_exp_reduce_omp/1000",34729,56019.8,20042.3,ns,,,,,
"vec_exp_reduce_omp/10000",29807,59627.6,23512.1,ns,,,,,
"vec_exp_reduce_omp/100000",11773,152514,58592.8,ns,,,,,
"vec_exp_reduce_omp/1000000",1454,804051,482556,ns,,,,,
"vec_exp_reduce_omp/10000000",150,7.26139e+06,4.65984e+06,ns,,,,,
"vec_exp_reduce_omp/100000000",12,6.89426e+07,5.69726e+07,ns,,,,,
"vec_exp_reduce_omp/1000000000",1,6.39534e+08,5.91101e+08,ns,,,,,
"vec_exp_reduce_omp_BigO",,0.640037,0.590877,N,,,,,
"vec_exp_reduce_omp_RMS",,2.11035e-11,1.13377e-11,,,,,,
"vec_exp_reduce_std/10",33914564,20.6066,20.6066,ns,,,,,
"vec_exp_reduce_std/100",3340587,209.513,209.513,ns,,,,,
"vec_exp_reduce_std/1000",326555,2127.05,2127.05,ns,,,,,
"vec_exp_reduce_std/10000",30913,22615.1,22615,ns,,,,,
"vec_exp_reduce_std/100000",1725,405215,405214,ns,,,,,
"vec_exp_reduce_std/1000000",156,4.47e+06,4.47e+06,ns,,,,,
"vec_exp_reduce_std/10000000",16,4.48729e+07,4.4873e+07,ns,,,,,
"vec_exp_reduce_std/100000000",2,4.47549e+08,4.47549e+08,ns,,,,,
"vec_exp_reduce_std/1000000000",1,4.45346e+09,4.45346e+09,ns,,,,,
"vec_exp_reduce_std_BigO",,4.45368,4.45368,N,,,,,
"vec_exp_reduce_std_RMS",,1.34387e-12,1.34399e-12,,,,,,
