2026-04-24T14:46:29+08:00
Running ./bench_sumexp
Run on (32 X 5200 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 0.48, 3.00, 2.08
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"expsum_eigen/100",4764267,146.935,146.753,ns,,,,,
"expsum_eigen/1000",461645,1518.42,1516.31,ns,,,,,
"expsum_eigen/10000",46019,15253.1,15231.9,ns,,,,,
"expsum_eigen/100000",4606,152192,151975,ns,,,,,
"expsum_eigen/1000000",460,1.52307e+06,1.52018e+06,ns,,,,,
"expsum_eigen/10000000",46,1.53382e+07,1.53056e+07,ns,,,,,
"expsum_eigen/100000000",5,1.53609e+08,1.533e+08,ns,,,,,
"expsum_eigen_BigO",,1.53607,1.53297,N,,,,,
"expsum_eigen_RMS",,4.04765e-13,4.26269e-13,,,,,,
"expsum_highway/100",5837295,120.147,119.994,ns,,,,,
"expsum_highway/1000",557772,1256.67,1254.88,ns,,,,,
"expsum_highway/10000",55833,12549.6,12533.6,ns,,,,,
"expsum_highway/100000",5574,125696,125523,ns,,,,,
"expsum_highway/1000000",554,1.26614e+06,1.26372e+06,ns,,,,,
"expsum_highway/10000000",55,1.28105e+07,1.27835e+07,ns,,,,,
"expsum_highway/100000000",5,1.28393e+08,1.28124e+08,ns,,,,,
"expsum_highway_BigO",,1.2839,1.28121,N,,,,,
"expsum_highway_RMS",,6.28154e-13,6.26713e-13,,,,,,
"expsum_xsimd/100",4737135,147.918,147.741,ns,,,,,
"expsum_xsimd/1000",466976,1501.15,1498.94,ns,,,,,
"expsum_xsimd/10000",46727,15000.8,14981.1,ns,,,,,
"expsum_xsimd/100000",4673,149968,149763,ns,,,,,
"expsum_xsimd/1000000",467,1.5003e+06,1.49742e+06,ns,,,,,
"expsum_xsimd/10000000",46,1.51156e+07,1.50846e+07,ns,,,,,
"expsum_xsimd/100000000",5,1.51249e+08,1.50936e+08,ns,,,,,
"expsum_xsimd_BigO",,1.51248,1.50935,N,,,,,
"expsum_xsimd_RMS",,2.41502e-13,2.36516e-13,,,,,,
"expsum_omp/100",51557,54572.6,16687.3,ns,,,,,
"expsum_omp/1000",42092,54623,19981.1,ns,,,,,
"expsum_omp/10000",20642,72834.5,34227.9,ns,,,,,
"expsum_omp/100000",13988,76782.5,54889.8,ns,,,,,
"expsum_omp/1000000",1305,707235,504182,ns,,,,,
"expsum_omp/10000000",195,5.60834e+06,3.39273e+06,ns,,,,,
"expsum_omp/100000000",16,5.10159e+07,4.39563e+07,ns,,,,,
"expsum_omp_BigO",,0.019235,0.0165259,NlgN,,,,,
"expsum_omp_RMS",,5.46984e-11,2.68491e-11,,,,,,
"expsum_tbb/100",92840,7543.75,7521.55,ns,,,,,
"expsum_tbb/1000",53358,13110,13061.8,ns,,,,,
"expsum_tbb/10000",32697,21506.5,21438.8,ns,,,,,
"expsum_tbb/100000",10652,65306.6,65108.8,ns,,,,,
"expsum_tbb/1000000",1597,460963,459106,ns,,,,,
"expsum_tbb/10000000",168,4.31567e+06,4.29699e+06,ns,,,,,
"expsum_tbb/100000000",17,4.32574e+07,4.30597e+07,ns,,,,,
"expsum_tbb_BigO",,0.432567,0.430591,N,,,,,
"expsum_tbb_RMS",,2.39871e-12,2.39896e-12,,,,,,
"expsum_std/100",126808,5520.59,5501,ns,,,,,
"expsum_std/1000",61661,11364.3,11331.1,ns,,,,,
"expsum_std/10000",33806,20723.1,20640.9,ns,,,,,
"expsum_std/100000",10811,65472.7,65264.5,ns,,,,,
"expsum_std/1000000",1586,462683,461101,ns,,,,,
"expsum_std/10000000",168,4.27836e+06,4.25853e+06,ns,,,,,
"expsum_std/100000000",17,4.24467e+07,4.22531e+07,ns,,,,,
"expsum_std_BigO",,0.424504,0.422568,N,,,,,
"expsum_std_RMS",,3.32527e-12,3.33683e-12,,,,,,
